host_id,host_url,host_name,num_dirty_reviews
47832519,https://www.airbnb.com/users/show/47832519,Eric,1
43130573,https://www.airbnb.com/users/show/43130573,Sarah,1
173063644,https://www.airbnb.com/users/show/173063644,Kimberly,1
268797798,https://www.airbnb.com/users/show/268797798,Phuoc Dung,1
378993771,https://www.airbnb.com/users/show/378993771,Evelo,1
46886824,https://www.airbnb.com/users/show/46886824,Lisa,1
78350960,https://www.airbnb.com/users/show/78350960,Rachel,1
273537088,https://www.airbnb.com/users/show/273537088,Degef,1
346796342,https://www.airbnb.com/users/show/346796342,Cecelia,1
255379575,https://www.airbnb.com/users/show/255379575,Caleb,1
146196004,https://www.airbnb.com/users/show/146196004,Tim,1
33780053,https://www.airbnb.com/users/show/33780053,Sunita,1
24544007,https://www.airbnb.com/users/show/24544007,Elizabeth ‘E-Lee’,1
7961148,https://www.airbnb.com/users/show/7961148,Cory,1
1474666,https://www.airbnb.com/users/show/1474666,Joseph,1
391867702,https://www.airbnb.com/users/show/391867702,Amanda,1
12744104,https://www.airbnb.com/users/show/12744104,Mycah,1
1119312,https://www.airbnb.com/users/show/1119312,Tammi,1
272721196,https://www.airbnb.com/users/show/272721196,Bobby & Missi,1
83939156,https://www.airbnb.com/users/show/83939156,Graham,1
29623887,https://www.airbnb.com/users/show/29623887,Nikki,1
242571312,https://www.airbnb.com/users/show/242571312,Mimi,1
30365267,https://www.airbnb.com/users/show/30365267,Kaitlin,1
48635292,https://www.airbnb.com/users/show/48635292,Carissa,1
25549082,https://www.airbnb.com/users/show/25549082,Danielle,1
45310987,https://www.airbnb.com/users/show/45310987,Morgan,1
23699013,https://www.airbnb.com/users/show/23699013,M.,1
1313972,https://www.airbnb.com/users/show/1313972,Heather,1
68535175,https://www.airbnb.com/users/show/68535175,Tyler,1
98259634,https://www.airbnb.com/users/show/98259634,Denver Skyline,1
180726583,https://www.airbnb.com/users/show/180726583,Jake,1
94088154,https://www.airbnb.com/users/show/94088154,James,1
238770723,https://www.airbnb.com/users/show/238770723,Rebecca,1
3484713,https://www.airbnb.com/users/show/3484713,Vu,1
23166056,https://www.airbnb.com/users/show/23166056,Suzette,1
88905818,https://www.airbnb.com/users/show/88905818,Rick/Terry,1
203021124,https://www.airbnb.com/users/show/203021124,Justin,1
486880651,https://www.airbnb.com/users/show/486880651,Tailored Stays,1
21884705,https://www.airbnb.com/users/show/21884705,Paul,1
334032158,https://www.airbnb.com/users/show/334032158,Eric,1
222269797,https://www.airbnb.com/users/show/222269797,Bryan,1
11583644,https://www.airbnb.com/users/show/11583644,Brian,1
376896805,https://www.airbnb.com/users/show/376896805,Carol,1
10989140,https://www.airbnb.com/users/show/10989140,Dan And Emily,1
12435092,https://www.airbnb.com/users/show/12435092,Dana,1
38833223,https://www.airbnb.com/users/show/38833223,Amberly,1
18930052,https://www.airbnb.com/users/show/18930052,Nikki & James,1
10951,https://www.airbnb.com/users/show/10951,Tricia,1
206011423,https://www.airbnb.com/users/show/206011423,Brandy,1
17839765,https://www.airbnb.com/users/show/17839765,Patrick,1
407124285,https://www.airbnb.com/users/show/407124285,Amber,1
35331385,https://www.airbnb.com/users/show/35331385,Phil,1
54348240,https://www.airbnb.com/users/show/54348240,Troy,1
53194431,https://www.airbnb.com/users/show/53194431,Billy,1
46817293,https://www.airbnb.com/users/show/46817293,Albert,1
80578027,https://www.airbnb.com/users/show/80578027,Brook,1
55350488,https://www.airbnb.com/users/show/55350488,Mark,1
28183156,https://www.airbnb.com/users/show/28183156,Todd,1
107434423,https://www.airbnb.com/users/show/107434423,Blueground,1
205079895,https://www.airbnb.com/users/show/205079895,Mike,1
203341,https://www.airbnb.com/users/show/203341,Joseph,1
175492115,https://www.airbnb.com/users/show/175492115,Edina,1
24517598,https://www.airbnb.com/users/show/24517598,Alex,1
406276035,https://www.airbnb.com/users/show/406276035,Cherly,1
11078552,https://www.airbnb.com/users/show/11078552,Andrew,1
879998,https://www.airbnb.com/users/show/879998,Jennifer,1
90602667,https://www.airbnb.com/users/show/90602667,Brian,1
11850286,https://www.airbnb.com/users/show/11850286,Portia,1
47859549,https://www.airbnb.com/users/show/47859549,Allison,1
68274757,https://www.airbnb.com/users/show/68274757,Farrah,1
17299124,https://www.airbnb.com/users/show/17299124,Katie,1
417785272,https://www.airbnb.com/users/show/417785272,Angie,1
29477980,https://www.airbnb.com/users/show/29477980,Nicole,1
21152797,https://www.airbnb.com/users/show/21152797,Hilary,1
3444402,https://www.airbnb.com/users/show/3444402,Diana Rae,1
